School,District,Division1,Pupils,
Aywee Primary School,Abim,1,36,
Awach P.7 School,Abim,2,52,
Biyaya Primary School,Abim,4,42,
Rogom P.7 School,Abim,6,56,
Oreta P.7 School,Abim,1,48,
Kanu,Abim,2,86,
Alerek P.7 School,Abim,1,68,
Kureku Primary School,Adjumani,1,32,
Pakele Army Primary School,Adjumani,6,66,
Cesia Pri.Sch,Adjumani,21,130,
Kwonkic Primary School,Agago,1,29,
Amyel Primary School,Agago,1,34,
Lamiyo Primary School,Agago,1,33,
Lokapel Primary School,Agago,1,26,
Patongo Primary School,Agago,2,52,
Nimaro Ps,Agago,2,16,
Lokil Primary School,Agago,4,32,
Wolkico Primary School,Agago,2,31,
Patongo akwee Primary School,Agago,5,76,
Toroma P/Sch,Agago,2,39,
Ogole Primary School,Agago,2,19,
Arum Primary School,Agago,4,48,
Paimo Primary School ,Agago,1,56,
kalongo Girls Primary School,Agago,1,52,
Kalongo Ps,Agago,36,95,
Aywee Gara Gara P/Sc,Agago,1,46,
Dr.Ambrosoli Primary School,Agago,43,70,
Wol Primary School,Agago,1,39,
Ngora Primary School,Agago,1,38,
Lira Kato Primary School,Agago,1,59,
Wio Pichek,Agago,1,38,
Kaket Primary School,Agago,1,58,
Alanyi P.7 Sch,Albetong,2,53,
Bukere Primary School,Albetong,3,86,
Kasule Primary school,Albetong,1,32,
Nyamwegabira P/S,Albetong,1,28,
Kicumu Primary School,Albetong,1,31,
Iringa Primary School,Albetong,2,49,
Kidindimya Primary School,Albetong,1,23,
Humura primary School,Albetong,4,34,
Sweswe Primary School,Albetong,4,90,
Kisoko Primary School,Albetong,1,87,
Kinbuye Primary School,Albetong,1,85,
Kakosoro P/S,Albetong,1,17,
Kazinga Primary School,Albetong,6,115,
Kyanyinoburo Primary School,Albetong,8,115,
Nyakatoma P/S,Albetong,6,61,
Kabbani Primary School,Albetong,4,55,
Kyaisaza Primary School,Albetong,8,107,
Kyarujumba P/S,Albetong,9,86,
Karwenyi Primary School,Albetong,5,59,
Kakindo P/S,Albetong,6,70,
Migongwe Primary School,Albetong,2,76,
Migongwe Primary School,Albetong,2,76,
Kinyinya Primary School,Albetong,1,36,
Bujubuku Primary School,Albetong,13,75,
St.Thomas Jun Sch,Albetong,8,28,
Liberation Private P/S,Albetong,13,44,
Nabweyo,Amolatar,1,32,
Acengryeny,Amolatar,1,82,
Namasale,Amolatar,3,51,
Otira,Amolatar,2,38,
Aromi,Amolatar,7,71,
Amolatar,Amolatar,6,58,
Abarler,Amolatar,9,105,
Wabinua P.7 School,Amolatar,1,73,
Atam,Amolatar,1,64,
Kalas Boys Primary School,Amudat,1,34,
Katikit Primary School,Amudat,1,28,
Loroo P7 School,Amudat,1,17,
Kalas Girls Primary School,Amudat,2,25,
Angole/Wera P/S,Amuria,3,83,
Akisim-Kujju P/S,Amuria,1,27,
Aparisa Asamuk Primary School,Amuria,1,25,
Angolebwal P/S,Amuria,2,53,
Olekat P/S,Amuria,1,26,
Acowa Ps,Amuria,1,31,
Agonga P/S,Amuria,1,155,
Agonga P/S,Amuria,1,155,
Opot P/S,Amuria,4,95,
Abarilela Primay School,Amuria,1,87,
Atirir-Asamuk Primary School,Amuria,4,88,
Obalanga P/S,Amuria,5,103,
Amusus P7 School,Amuria,5,78,
Amucu Primary School,Amuria,4,43,
Kuju Primary School,Amuria,8,103,
Akore/Acowa P/S,Amuria,6,58,
Amuria Primary School,Amuria,10,9,
Odoon Primary School,Amuria,1,36,
Ocal Primary School,Amuria,1,38,
Kapelebyong P/S,Amuria,2,106,
Acumet P/S,Amuria,2,102,
Aakum-Acowa P/S,Amuria,1,51,
Okunggedi P.7 School,Amuru,1,30,
Otwee Public Sch,Amuru,3,90,
Mutema P7 School,Amuru,2,69,
Keyo P.7 School,Amuru,5,127,
Powel Langetta P.7 School,Amuru,1,25,
Pabo P7 School,Amuru,1,123,
Maro-Awobi P/S,Amuru,2,42,
Pagak P.7 School,Amuru,14,100,
Abalokodi P7 School,Amuru,1,15,
Amuru Lamogi P.7 School,Amuru,10,107,
Kaladima P7 School,Amuru,4,51,
Amuru Reckiceke P.7 School,Amuru,1,44,
Otong P.7 School,Amuru,1,42,
Agole P.7 School,Amuru,1,75,
Olya P.7 School,Amuru,1,64,
Agwayugi P.7 School,Amuru,1,64,
Abbott Pri School,Amuru,1,36,
Akot P7 School,Apac,2,72,
Mingoro P7 School,Apac,1,35,
Aninola P.7 School,Apac,2,60,
Owinyi Primary School,Apac,1,30,
Abuli P.7 Sch,Apac,2,58,
Owiny Primary School,Apac,1,30,
Acungi P7 Sch,Apac,2,55,
Mirembe Primary School,Apac,1,28,
Ogwok Annex Primary School,Apac,1,32,
Apita Primary School,Apac,2,63,
Ikwera P7 School,Apac,6,156,
Ikwera P7 School,Apac,6,156,
Apac P7 School,Apac,3,91,
Aporwegi  Primary School,Apac,1,24,
Ololango P.7 Sch,Apac,2,44,
Mworra Primary  School,Apac,1,22,
Nyamishundo Ps,Apac,1,22,
Ololango P.7 School,Apac,2,44,
Muterere Primary School,Apac,2,164,
Oje P.7 School,Apac,2,43,
Chakali P.7 Sch,Apac,2,42,
Apire Primary School,Apac,2,42,
Atuma P7 Sch,Apac,2,31,
Kiwibale Primary School,Apac,4,61,
Rwnjaza Primary School,Apac,5,75,
Amilo Primary School,Apac,2,38,
Omwono P7 School,Apac,1,19,
Olili Ps,Apac,7,77,
Kyanyinaihuri Primary School,Apac,2,38,
Agolowelo Pri.Sch,Apac,4,60,
Olili Primary School,Apac,7,77,
Abole Primary School,Apac,3,54,
Abolo P.7 School,Apac,3,54,
Nganiko Primary School,Apac,2,28,
Mahani Primary School,Apac,2,28,
St.Margret Girls Pri School,Apac,7,95,
Arocha Primary Shool,Apac,11,109,
New Hope Primary School ,Apac,4,39,
Awir P7 School,Apac,17,209,
Inomo P.7  Sch,Apac,7,45,
Atar P7 School,Apac,4,47,
Kajumura Primary School,Apac,12,74,
Abongomola P7 Sch,Apac,6,70,
Abutaber Primary School,Apac,1,44,
Ikwera Negri School For Disabled,Apac,15,91,
Walkway Primary School,Apac,5,30,
Atundu Primary School,Apac,1,56,
Atundu Primary School,Apac,1,56,
Onywalonote Primary School,Apac,1,54,
Onywalonote Ps,Apac,1,54,
Apac Model P7 School,Apac,31,100,
Abalokweri Primary School,Apac,21,116,
Awila P.7 School,Apac,1,50,
Abutaber Primary School,Apac,1,44,
Amorigoga P7 Sch,Apac,1,42,
Aduku Primary School,Apac,1,69,
Kirongo Primary School,Apac,1,68,
Alenga P7 School,Apac,1,58,
Bugongi Primary School,Apac,1,58,
IIi Primary School,Arua,1,36,
Buzu foundation P7 School,Arua,1,36,
Awibwiri P/S,Arua,4,141,
Kyalanga Ps,Arua,1,30,
Ave P.7 Sch,Arua,1,30,
Arua Islamic Institute P.7 Sch,Arua,3,88,
Oyoo Ps,Arua,1,34,
Budrabe P7 School,Arua,1,33,
Bibia Ps,Arua,4,110,
Ayaa Primary School,Arua,1,27,
Mirembe Primary School,Arua,2,56,
Bidi Primary School,Arua,2,56,
Aliba-Wiria P.7 School,Arua,1,28,
Yetemaye P.7 School,Arua,1,26,
Cilio P7 School,Arua,2,62,
OnDuparaka P7 School,Arua,2,49,
Ragem Primary School,Arua,3,72,
Ombaci P7 School,Arua,1,102,
Micu P7 School,Arua,1,99,
Arue Parents Ps,Arua,1,94,
I Primary School,Arua,1,90,
Niva P/S,Arua,4,88,
Swalihim Ps,Arua,1,88,
Arau Ttc Demonstration,Arua,5,109,
Odobu Primary School,Arua,1,83,
Rigbo Primary School,Arua,1,81,
Obi P7 School,Arua,1,80,
Onzua Primary School,Arua,3,23,
Anyafio Ps,Arua,11,172,
Owayi Primary School,Arua,3,46,
Ociba P.7 School,Arua,5,99,
Jaiko P7 School,Arua,7,133,
Erewa P.7 School,Arua,3,33,
Arua Hill P/S,Arua,13,191,
Endru P7 School,Arua,3,44,
Ediofe Girls Primary School,Arua,7,102,
Ediofe  Boys P7 School,Arua,12,83,
Arue Prisons Ps,Arua,7,84,
Oci P.7 School,Arua,2,18,
Belia Primary School ,Arua,1,56,
Ociba Islamic Primary School,Arua,3,34,
Binze P7 School,Arua,1,54,
Arua P/S,Arua,45,252,
Aroi Primary School,Arua,2,104,
Ojipaku Primary School,Arua,1,50,
Olua Primary School,Arua,1,48,
Obiyu Primary School ,Arua,1,47,
St.Kizito Ediofe P/S,Arua,14,36,
Anyiribu P.7 School,Arua,1,46,
Arua Public P/S,Arua,32,160,
Cornerstone Ps,Arua,33,74,
Bright Horizon Ps,Arua,20,44,
Christ The King Kindergarten,Arua,28,56,
Montessor Ps,Arua,5,20,
Oduluba Primary School,Arua,1,42,
Oli Parents Ps,Arua,3,125,
Addu P.7 School,Arua,1,76,
Odupi P.7 School,Arua,1,74,
Bongovia Primary School,Arua,1,72,
Yiddu Primary School,Arua,1,71,
St.Peter Claver Ndirea P.7 School,Arua,1,67,
Lugbari P.7 School ,Arua,2,79,
Oribu Primary School,Arua,1,64,
Ushindi Ps,Arua,22,31,
Urugbo Primary School,Arua,1,39,
Oreku Primary School,Arua,2,77,
Ombaderoko P.7 School,Arua,2,77,
Pokea P.7 School,Arua,1,60,
Katiyi Primary School,Arua,1,60,
Uleppi P.7 School,Arua,1,38,
Bugolya Primary School,Budaka,2,60,
Sapiri Ps,Budaka,2,61,
Kachomo Primary school,Budaka,1,137,
Kakule Primary School,Budaka,1,118,
Lerya Primary School,Budaka,10,84,
Lerya Primary School,Budaka,10,84,
Katira Ps,Budaka,3,68,
Kamonkoli Mixed Primary School,Budaka,6,131,
Kadenge Primary School,Budaka,1,80,
Jami Primary School,Budaka,10,78,
Jami Primary School,Budaka,10,78,
Jami Primary School,Budaka,10,78,
Jami Primary School,Budaka,10,78,
Jami Primary School,Budaka,10,78,
Budaka FHPPs,Budaka,12,245,
Kotinyanga Primaray School,Budaka,4,81,
Budaka Ps,Budaka,8,122,
Namego Boys PS,Budaka,2,36,
Nyazali Primary School,Budaka,2,24,
Namego Girls Ps,Budaka,10,63,
Namirembe Board Sch,Budaka,64,148,
Kadimukoli Primary School,Budaka,1,42,
Nanzala Ps,Budaka,2,82,
Butove Primary School,Budaka,1,72,
Suni Primary School,Budaka,1,40,
Suni Primary School,Budaka,1,40,
Naboa Parents Primary School,Budaka,2,80,
Kodiri Primary School,Budaka,3,117,
Iki Iki integrate Ps,Budaka,3,116,
Mugiti Primsry School,Budaka,2,76,
Gadumire Primary School,Budaka,1,58,
Highlight Junior School,Budaka,15,17,
Lupada Primary School,Budaka,3,109,
Bumayoka Primary School,Bududa,3,103,
Namakuto Primary School,Bududa,1,32,
